miRNA	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Control_10	Control_11	Control_12	Control_13	Control_14	Control_15	Control_16	Control_17	Control_18	Control_19	Control_20	Control_21	Control_22	Control_23	Control_24	Control_25	Control_26	Control_27	Control_28	Control_29	Control_30	Control_31	Control_32	Control_33	Control_34	Control_35	Control_36	Control_37	Control_38	Control_39
hsa-let-7g-3p	18.773871	10.439559	11.688536	18.772801	7.652042	25.400539	16.167787	18.869955	20.392275	19.518212	16.405709	7.787186	10.219116	10.264638	18.041359	6.027415	8.78827	31.541051	15.871449	4.398405	13.705264	9.473385	20.026157	10.17923	16.39502	11.195398	6.292151	10.755332	14.276298	31.742172	19.965383	5.752453	8.966784	20.71652	19.496249	42.62703	15.159533	35.517418	10.532536	18.780133	4.0426	2.603116	8.440105	8.375594	5.328444	2.631847	3.447167	6.38491	2.753265	4.03282	3.462886	3.759339	1.229381	1.44705	2.633857	1.098563	5.074275	1.383013	2.217671	5.197793	5.976125	5.717284	5.03914	4.974776	5.993326	4.471013	2.31363	2.706273	4.62954	3.871555	6.877741	4.432944	4.561239	7.161074	4.218494	4.346607	5.081215	1.065263
hsa-let-7g-5p	1087.079353	219.033757	404.997525	345.088234	1586.421237	698.18351	755.205867	585.912071	600.479656	904.143655	922.067853	860.886771	932.859243	353.42559	243.706228	548.78876	292.856197	665.771921	784.972189	557.759529	799.825137	759.37795	973.194217	1057.557047	654.09942	730.872896	1172.437444	493.792266	901.038335	792.919463	1183.899723	781.026314	854.833377	1144.885388	563.521719	1264.317708	400.251057	619.095915	693.6427	807.38923	980.255496	706.486028	1275.096623	970.228788	1144.180937	1173.678471	1487.862693	1354.512992	1172.523595	1697.641939	1297.428077	965.941222	790.35467	719.841822	559.318209	790.665886	593.12633	819.512164	1447.735847	1950.30232	1588.705749	1538.584678	1722.755966	1503.721709	601.767429	1236.43835	601.543932	985.308998	1018.498715	863.840787	970.504905	1620.24082	1145.675911	1518.147662	1301.22943	1129.525139	1156.077824	1376.959709
hsa-let-7i-3p	159.938941	241.291685	215.31514	280.763788	108.96507	86.140959	58.714597	108.690935	114.706545	43.240347	62.274735	47.528684	107.446699	64.204307	82.812795	141.717751	112.43817	150.885571	92.023135	60.530418	88.029963	34.448673	102.441496	122.150763	46.09166	81.726406	160.100282	125.660395	70.157806	257.746439	176.36089	166.821155	69.866189	180.733779	93.475166	111.966999	126.198194	106.825465	173.335441	169.647204	45.965853	136.403346	115.170017	121.613622	33.610187	34.088685	47.275427	32.9887	37.995051	45.763741	24.047823	51.795334	28.002543	25.652257	44.023028	14.28132	62.864625	34.114326	38.506829	34.124641	33.025954	70.089668	70.233013	46.686361	79.973448	53.042474	19.126012	37.662304	55.785953	39.199498	112.460346	37.680019	22.00127	59.453567	39.021064	30.623823	39.836719	7.989476
hsa-let-7i-5p	881.108323	311.610977	450.726359	428.461552	788.160272	497.18794	400.578211	434.95244	538.574538	371.146317	538.709941	311.218893	555.04395	388.446121	369.404223	460.141661	529.105592	481.469889	707.647735	563.833517	520.624315	256.64262	521.835441	618.983832	294.646346	363.850435	611.037763	635.926024	613.472907	598.022527	448.032719	825.738567	459.174048	313.367133	557.111993	577.169984	384.304014	611.172797	681.304588	353.066508	337.332464	536.242161	625.208667	488.799654	454.967164	310.181977	493.929704	396.472492	453.554447	548.638879	318.008395	378.440107	366.355207	259.285131	223.689656	293.116632	293.744122	241.105303	449.582362	438.874519	426.821162	545.259502	544.699531	494.416199	260.896991	309.516044	200.514644	460.743025	391.427575	350.375759	330.689184	503.582371	294.199913	460.640239	439.602163	357.409651	419.911531	294.651907
hsa-miR-100-3p	0.541554	0.393946	0.410124	0.552141	0	0.220874	3.829213	0.566099	0.728296	0.30028	0.33481	0.805571	0.875924	0.402535	0	0	0.775436	1.022953	1.329136	4.398404	0.702835	0	0	0.216579	0.15467	0.74636	0.349564	0.272287	1.223683	0.317422	0.475366	0.261475	0.747232	0	0.267072	0	0.590631	2.732109	0.150465	0	0.449178	0	0.534185	0.335024	0.40988	0.250652	0.656603	0.608087	0.917755	0.17534	0.961913	0.208852	0.136598	0.2631	0.564398	0.699086	0	0	0.201606	0.225991	0.471799	0	0	0.382676	0.374583	1.016139	0.154242	3.382842	0.694431	0.483944	0.37177	0.886589	0	0.832683	0.527312	0.987865	0.203249	0.213053
hsa-miR-100-5p	8297.509541	23365.11096	8767.837577	3859.742893	6627.58616	3760.384126	32701.47776	7775.553221	1643.034691	3294.974538	3676.218248	10725.90799	4851.743995	4415.203418	5900.411698	6703.514261	17133.25061	7647.767269	12222.97088	18350.14187	5948.084463	4745.304805	6267.031858	8342.853801	3775.030634	6515.348424	2871.318175	6674.159999	9201.27785	3330.706142	2788.498608	4787.610257	12687.99889	2732.43757	2304.296388	3408.457315	5156.407009	17574.56472	5572.313156	5079.869557	6509.183964	9523.244272	5659.142689	7452.43584	10502.15873	6832.650994	8399.595533	9086.334624	8137.365141	11472.84728	7566.791384	6123.962944	5789.832867	5640.471105	6732.136811	7915.946731	9300.581706	6689.173926	7839.06322	5474.631945	8778.928178	10070.25483	7137.311838	9519.425163	7740.755668	7980.555161	4783.353954	18659.97977	6533.90073	4796.373125	8839.754975	4533.792883	6545.646264	6337.217303	8298.127958	7142.463407	5267.592994	6108.540982
hsa-miR-101-5p	3.790878	3.939456	7.792357	5.245342	11.01894	5.963605	4.892883	3.019193	1.456591	5.104763	5.691777	2.95376	4.379621	4.226615	1.18304	4.851334	5.16957	6.137718	4.925621	0.628344	3.865588	3.660171	3.851184	5.197905	5.10411	6.15747	4.194768	2.722869	6.526307	0.634844	3.327564	1.307375	6.725088	5.953023	4.006079	3.410162	2.756278	3.005321	2.858832	11.42458	7.636022	1.56187	11.004187	9.71569	8.197605	5.514346	4.924524	9.881409	4.588775	6.48758	5.19433	5.639008	4.37113	4.209601	2.633856	6.191902	5.356178	6.454062	5.443373	11.29955	8.649654	4.870279	11.967956	9.375539	8.053531	5.69038	3.85605	4.510457	7.870218	2.419721	5.762432	9.530828	9.390786	6.661463	9.667381	4.149033	6.300706	3.941474
hsa-miR-103a-2-5p	1.263626	0.196973	0	1.380354	0.306082	1.104371	0	0.566099	1.092443	0.60056	0	0.537048	0.875924	0	0	0.44103	0.258479	0.852461	0.390921	0	0.702835	0.430608	1.155355	0.649738	0.15467	0.18659	0	0.272286	0	0	0.237683	0	0	0.476242	0.534144	0.28418	0.393754	0.273211	0.60186	0.469503	0.149726	0	0.427347	0.83756	0	0.125326	0.328302	0	0.367102	0.17534	0.384765	0.417704	0	0.2631	0	0	0.845712	0.461004	0	0.451982	0.157266	0.635254	0.314946	0.574013	0	0	0.154242	0	0.231477	0.483944	0	0.443294	0.268308	0.333073	0	0	0.812994	0.319579
hsa-miR-106a-3p	0	0	0	0	0	0.220874	0	0	0	0	0	0	0.291975	0.201267	0.29576	0.14701	0	0	0.078184	0	0	0	0	0	0.15467	0	0	0	0	0	0	0	0	0	0	0.28418	0	0	0	0.313002	0.149726	1.041247	0.427348	0	0	0	0.164151	0.152022	0	0	0.192383	0.208852	0	0	0	0	0	0	0	0	0	0	0.157473	0	0.374583	0	0	0	0	0	0	0.221647	0.134154	0	0	0	0	0
hsa-miR-106a-5p	5.054504	3.151565	3.07593	3.036777	9.488533	41.082613	6.382021	4.90619	18.935685	10.810085	25.780399	4.296379	6.715419	12.881113	4.14064	3.528243	5.945007	2.38689	2.501901	0.209448	2.459921	3.875476	10.013078	4.981323	5.10411	8.023369	1.398256	3.539728	5.710517	11.744605	13.310253	12.550806	3.362544	2.857452	11.217021	23.018596	9.056344	13.660547	6.018593	12.050583	4.641504	3.644363	17.734903	13.065926	4.918563	5.263694	12.147159	2.280325	5.873632	9.46836	2.500974	6.056712	3.961337	2.631	0.752531	3.09595	2.819041	3.380698	4.838553	3.841847	5.504325	4.870278	16.062257	7.84484	1.49833	2.438735	2.31363	3.382843	3.935109	0.483944	4.089468	9.530827	5.232009	8.659903	5.448888	1.97573	5.487713	3.834948
hsa-miR-106b-3p	554.00972	315.944378	323.177772	1753.048234	209.359855	936.285953	268.257633	521.754229	1470.428655	519.184452	365.278152	140.437861	138.396016	485.859552	511.369015	273.879844	395.989139	172.70857	240.182725	208.610022	424.336053	427.163552	556.881217	252.314962	363.629165	403.407508	344.320479	281.680781	214.960255	618.020097	319.446142	466.471691	184.192682	117.631737	298.586388	764.444737	689.069699	2180.769451	210.199318	313.941227	91.931707	141.60958	389.099451	190.628517	144.892695	118.307792	192.877171	111.127835	200.437661	159.033384	114.660014	151.417813	180.172455	205.612712	139.782519	143.012953	261.888953	175.489011	114.310851	94.464238	124.7123	124.509742	194.321833	205.11384	214.261419	135.34976	69.408915	135.088141	131.478927	119.534269	215.62645	136.756305	122.75099	176.362263	163.29085	89.303017	111.380212	72.970555
hsa-miR-106b-5p	251.100529	140.047664	155.437025	715.574965	313.42762	813.479869	206.777493	274.180432	751.23683	548.01135	478.778879	193.874065	263.94515	351.412918	167.695912	219.486101	226.685688	226.24311	162.076428	88.805873	424.687469	303.578936	503.34976	236.071509	225.818197	239.208337	242.247809	195.91041	253.302311	402.490743	220.33227	311.939869	232.389144	258.123079	276.419423	632.016764	356.150597	909.519106	214.713263	468.564326	243.005143	148.898309	1032.684036	363.33326	190.594352	267.947098	331.256277	161.599026	253.300338	274.757789	195.075931	379.69322	376.463439	191.668409	126.236973	229.899314	216.220482	180.713727	221.767084	166.781358	178.025628	208.574992	345.653505	297.72121	193.659359	210.747299	153.779307	152.00235	157.8673	151.958547	259.681163	370.815716	178.8274	184.022945	170.67321	197.770624	277.434289	132.625316
hsa-miR-107	67.51373	96.122729	72.181837	134.170306	92.436662	115.517234	94.028449	89.254885	84.846429	179.267273	55.578526	121.372684	67.446162	148.334088	101.149915	112.021706	97.187937	57.114875	61.218445	26.180978	104.019439	98.17872	88.577232	179.760874	84.604489	102.251301	55.580667	67.799434	85.657786	213.307399	199.178469	156.623621	127.403053	143.586915	87.065442	174.770821	90.760323	242.611287	96.447934	145.076528	72.018161	54.665464	207.049625	119.100944	94.272475	67.676067	175.148886	90.452888	103.889849	106.431383	73.105378	80.616932	113.78594	61.828519	36.309592	67.61157	82.316012	88.051841	93.34378	66.893336	82.879421	86.394515	103.459841	123.986725	65.364715	51.823106	34.395974	80.737154	65.970941	65.816441	74.539834	106.833935	66.540427	79.271424	92.103771	63.618524	91.461854	54.648022
hsa-miR-10a-3p	5.957094	5.712212	4.921489	1.380354	0.918245	20.541306	2.12734	5.472288	1.820739	2.402241	5.356966	1.342619	2.043823	5.23295	2.66184	3.381232	1.292394	4.091811	1.641872	1.885031	3.514171	0.861216	1.155355	3.898427	1.70137	2.98544	0.349564	5.173449	1.631576	8.570388	0.475366	4.968028	0.373616	3.571815	1.33536	0.56836	5.512557	0.819633	4.664409	2.034513	2.844793	1.56187	3.205104	2.177655	2.0494	2.757173	2.298111	2.128303	2.386163	2.98078	3.078121	2.297373	2.322163	1.3155	1.693193	2.097256	4.79237	0.922008	2.419277	1.581937	1.72993	1.058756	2.834515	1.339365	3.371245	2.438735	1.388178	0.451046	3.240678	2.419721	2.602389	2.881412	1.878157	1.665366	1.933476	3.753888	2.235735	1.065263
hsa-miR-10a-5p	39048.38857	64900.56911	22300.49668	12774.89039	17246.17107	68109.44673	17786.48096	22265.22475	6069.250713	8806.917734	27046.31934	10497.12586	18026.22751	23555.33264	24257.05092	19593.94924	14280.42286	28207.41804	44246.23983	32386.49657	16507.46305	12011.39131	12740.48719	11500.79755	8391.466055	15275.56073	13543.15559	21701.80937	10218.56604	40663.62725	6759.946208	17820.83983	10264.35199	19469.48088	7508.993648	3451.084346	37287.92403	4549.234794	34176.12176	16852.03963	25296.0418	38338.71137	15973.16261	16185.835	22946.33047	31555.59582	26175.81206	22824.83608	22019.32498	27765.79134	23908.53671	22222.49605	14813.34462	23125.4448	22234.07458	20064.15809	38766.04915	23934.5804	30853.24483	18755.21898	19830.35667	17888.53498	24703.59621	23043.35365	27809.9711	25582.32406	20218.66276	13548.50612	25482.14341	29184.75207	24603.34957	16028.85846	26136.43605	18561.17039	27053.54938	27321.78466	22483.35598	20557.24364
hsa-miR-10b-3p	2.70777	9.06075	9.022729	5.521413	0.918246	1.104372	3.403744	4.34009	2.184887	4.504202	7.700638	1.342619	0.291975	8.050696	0	2.352161	2.06783	2.045906	0.156369	7.121227	1.40567	0.430608	1.540472	4.115007	1.70137	0.74636	0	1.361433	0.815788	12.696869	0.713049	0.261475	6.725088	0.714363	1.869504	0.28418	2.953155	0.273211	6.469987	0.782505	1.197808	2.082493	3.311941	1.340095	3.483981	5.38902	1.641508	0.912131	2.019061	3.15612	1.731444	1.253113	12.020606	24.468306	3.198255	1.897519	5.356178	1.536681	0	0.903964	1.415398	2.541014	2.834516	1.72204	1.685623	1.829052	2.159388	1.804183	0.231477	2.419722	2.416504	0.664941	0.67077	1.332292	1.054624	7.507776	1.219492	0.319579
hsa-miR-10b-5p	4859.183331	23838.63358	7075.665636	9162.506742	2975.419809	1429.056406	3280.99721	4803.158077	3168.449659	8737.553007	11741.13129	5085.032038	710.08253	14327.42264	1567.527921	2911.241317	2030.090523	3731.732616	801.703668	15418.71027	1615.288331	383.241494	1540.473631	3637.017313	3036.017385	1480.218199	292.235452	1754.48055	1521.445447	16983.64929	221.520686	688.987054	10014.02928	1141.789819	2587.926749	118.503143	6191.586577	354.900968	9179.104717	1225.247197	3491.90754	11689.03786	3907.660998	2206.633941	8390.045399	20622.40176	3980.820624	1788.230789	6027.813848	7618.523267	4296.287633	5237.594389	17480.14279	68077.93551	7394.739811	3449.288674	14147.35976	3168.636945	1927.155963	2375.391388	2477.890302	5443.701481	3882.499855	8064.685867	4076.77301	4877.265613	6563.152778	2929.315302	2108.523818	2447.306919	5358.689021	1953.819811	2112.121959	2717.211193	3633.528939	19048.80825	2732.270426	713.300495
hsa-miR-1178-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1179	0	0.196973	0.205062	0.276071	0	0	0.212734	0	0.364148	0	0	0	0	0.402535	0	0.14701	0	0.170492	0	0	0.175709	0	0	0	0.15467	0	0	0	0	0	0	0	0.373616	0	0	0	0	0	0	0.156501	0	0.520623	0	0.167512	0	0	0	0	0	0	0	0.208852	0	0.13155	0.188133	0	0	0.153668	0	0.225991	0	0.211751	0	0.191338	0	0	0.154242	0	0	0	0.185885	0	0	0.166537	0	0.197573	0.203249	0.106526
hsa-miR-1180-3p	31.410131	23.242792	14.764466	37.26953	25.71086	17.228192	13.827714	11.510672	115.070693	37.535024	45.869026	10.203897	12.554914	44.4801	22.77352	12.054828	12.148492	10.570514	18.138799	2.93227	14.583807	29.711981	72.017142	13.427919	11.44558	21.831027	10.137354	5.309594	20.39471	41.582247	47.536628	17.25736	25.779504	6.905508	13.88774	42.62703	27.956542	46.719065	24.525762	12.363588	7.33657	18.221821	8.86745	8.710618	15.370512	5.263694	7.715087	11.249603	9.911753	16.30662	7.695303	8.980643	10.108235	7.235253	6.960907	14.680798	10.994262	8.912752	12.096386	10.621577	11.480451	10.16406	10.393225	7.079488	11.799361	8.129115	16.349656	9.471957	14.120096	12.582555	12.454287	9.530828	7.780937	10.158733	16.522433	43.466071	6.707202	4.68716
hsa-miR-1181	0.180518	0.196973	0.410124	0.276071	0	0	0	0.1887	0	0.60056	0	0	0.291975	0.201267	0	0	0	0	0	0	0	0	0	0.649737	0.15467	0	0.699128	0.408429	0	0	0.475366	0.52295	0	0.476242	0	0.56836	0	0.273211	0	0	0.149726	0	0	0	0	0	0.164151	0	0	0	0.192383	0	0	0	0	0	0.281904	0	0	0	0	0	0	0.191338	0	0	0	0	0.231477	0	0	0.221647	0	0	0	0	0	0
hsa-miR-1182	0	0	0	0	0	0	0.212734	0	0	0	0	0	0	0.201267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1197	0	0	0	0.552141	0	0	0	0	0	0	0.669621	0	0	0	0	0	0	0	0	0	0.175709	0	0	0.216579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.451395	0	0	0	0	0	0	0	0	0	0	0.17534	0	0	0	0	0	0	0	0	0	0	0	0	0.157473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-122-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-122-5p	0.180518	0.196973	0.205062	0	0	0	0	0	0	0	0	0	0	0.201267	0	0.14701	0.258479	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237683	0	0	0	0	0	0	0	0	0.156501	0	0	0	0	0	0	0	0	0	0.35068	0	0	0.136598	0	0	0	0	0	0	0	0	0	0	0	0	0.203228	0	0	0	0	0	0	0	0	0	0	0	0
