miRNA	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Tumor_44	Tumor_45	Tumor_46	Tumor_47	Tumor_48	Tumor_49	Tumor_50	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Control_10	Control_11	Control_12	Control_13	Control_14	Control_15	Control_16	Control_17	Control_18	Control_19	Control_20	Control_21	Control_22	Control_23	Control_24	Control_25	Control_26	Control_27	Control_28	Control_29	Control_30	Control_31	Control_32	Control_33	Control_34	Control_35	Control_36	Control_37	Control_38	Control_39	Control_40	Control_41	Control_42	Control_43	Control_44	Control_45	Control_46	Control_47	Control_48	Control_49	Control_50
hsa-let-7g-3p	34.531316	37.661297	81.632654	81.934333	131.710455	91.176977	142.67361	31.677011	125.181487	107.356021	62.270354	140.630627	64.146985	107.418851	61.444289	98.056317	86.065171	124.757771	38.392647	76.054461	47.001172	67.376531	80.943978	90.529795	77.885727	111.259926	80.369768	66.626323	64.292476	79.114315	83.372331	66.093633	82.704035	79.103669	63.135226	57.555155	88.853948	83.866202	92.958076	98.181694	63.368948	41.604551	149.243784	45.418589	49.196396	13.835883	14.885738	122.256032	73.699767	116.981701	43.373216	22.318955	85.450306	136.076766	241.366993	96.56037	138.037022	61.584939	219.239302	129.316508	23.580259	99.451498	209.914608	103.943527	93.552666	72.030702	79.059326	56.190957	69.580793	73.544312	131.201181	93.200979	71.217176	136.562182	66.048319	138.978158	85.922236	20.015903	105.921956	97.002761	132.655641	99.135565	103.694515	103.624217	89.800086	94.875668	89.616499	96.649302	89.493309	175.578138	52.328322	32.690622	25.300224	29.660241	33.554706	36.44178	11.488717	98.418996	108.427716	105.507029
hsa-let-7g-5p	983.070843	1677.906539	2078.040819	720.886701	1636.534381	723.525162	1469.627076	996.894166	983.353372	1007.509595	847.361564	1506.215567	1742.965204	3645.922187	1465.128512	1880.746841	1314.199405	744.813576	1872.149854	707.555843	1069.993792	2641.33425	1741.144558	1433.53074	2257.568095	812.964771	2404.289277	2106.230158	1853.284069	2521.982207	677.512242	800.238949	524.446651	762.255277	625.200636	654.870174	473.338519	608.657708	768.396574	741.999059	662.322843	914.933542	2562.208171	1016.768576	1032.991688	1108.715452	781.636524	1010.391118	966.918193	1381.443361	1237.338817	834.144915	3185.872217	1113.459613	2090.117049	1213.132084	1562.021565	2044.183557	1020.285564	1212.910858	1590.557907	1221.179481	681.77394	2069.831973	1022.591004	2304.833632	523.72726	2546.855182	2707.746149	577.211417	985.149738	2775.992088	3027.330579	3024.610646	2472.788023	1118.142454	2263.422422	2242.048049	2861.495459	1823.323113	1277.313029	835.958017	1238.718208	904.311452	971.570574	1020.343252	1002.750272	1227.892213	959.843852	1376.361303	910.919244	1431.43198	1164.053588	1213.509239	1388.99273	1263.315051	1011.964541	1092.226457	1435.775106	1805.972933
hsa-let-7i-3p	435.332728	426.274818	275.591837	229.009847	527.609069	193.879131	682.033192	303.478186	627.164283	1008.270982	176.184087	769.680418	290.91074	375.10433	353.569515	518.964723	388.211643	500.598048	169.35822	688.438328	316.209756	405.711263	341.040182	273.938032	412.34716	1207.170202	340.189495	481.606832	226.722193	456.282796	671.461024	289.515414	585.799793	452.900192	332.997853	375.878438	667.875709	809.534835	622.392697	549.453848	206.692292	470.846208	1765.861568	355.919655	291.730643	362.269546	76.864535	166.889186	495.125854	705.344393	646.078204	322.894805	328.983677	427.342204	1102.156092	695.784021	628.135902	540.201751	1816.200318	1170.671798	306.959505	694.200853	1630.875031	434.71206	1381.410751	489.927831	671.623661	392.212888	517.706637	616.212192	1104.6569	464.350441	249.517525	558.484945	450.821407	1123.653195	501.930495	251.800062	487.794643	424.181571	970.223835	532.383557	1054.795833	696.688926	593.178131	596.763258	516.885685	901.514956	878.223385	503.038502	421.505482	277.870299	357.122397	668.529004	629.193746	562.639004	263.52246	389.508409	626.547496	971.756364
hsa-let-7i-5p	2081.642985	1630.287341	1321.469388	1889.094229	1648.810309	982.969759	2441.229916	1966.956035	1314.154253	2333.660989	2039.820215	1792.44861	2023.712394	1971.068903	3328.055834	2204.265982	1548.517077	1638.073692	1191.248486	1870.191658	1300.145065	2502.079742	1836.805623	1264.214405	1740.50376	2177.433491	1915.692111	2677.628095	1497.725293	3493.930969	3643.953535	1522.683477	1169.881698	1772.320449	1230.489392	1953.7288	1396.948836	3837.924968	2656.213061	2115.08822	1056.774977	3534.920516	3226.969608	2665.345192	2450.272192	2038.02562	876.36394	1386.538642	2249.977092	1576.719902	1907.652169	780.329115	1617.384392	1455.690134	1927.908044	1984.664229	1931.319309	2108.67802	2381.374109	2493.40421	2067.156579	1885.005982	1144.662563	1850.1087	2530.901425	1924.886564	1335.635007	1952.916751	2425.912016	1831.444396	1578.977693	2361.642959	1426.4028	2125.475569	2170.297823	2065.720807	2254.124228	2057.101102	1828.210031	1615.342614	3067.733483	1763.078636	2891.81333	2239.20584	2129.257153	1924.553684	2103.468875	3166.528528	2824.903687	1424.895096	2364.935351	2347.464984	2494.748075	3423.837257	2833.307708	2765.710271	2589.26973	2211.54218	2314.725857	2248.398592
hsa-miR-100-3p	0.476294	1.787315	0	0.270857	0	0.256116	0	0.621118	0.754105	0.190348	1.864382	0.236752	1.332926	0.765909	0	0.166762	0.262394	1.013915	0.478413	0.415598	0.220663	0.871248	0.566042	0.427028	0.558987	0.191827	1.488329	0.220617	0.629085	0.379445	0	0.316237	0	0.362031	0	0.26221	0.235375	1.171784	0.34113	0.363636	0.4694	0.54984	2.278531	1.013054	0.26521	0.230598	0.81195	0	0	0.345418	1.923423	0	0.474724	1.019302	1.946508	0.422584	0.899264	0.484921	0.176949	0.487374	1.664489	1.143121	0	0	0.603566	0.446472	0.761231	0.561909	0.478767	0.318374	1.28349	1.10297	0.686431	1.05745	1.110056	1.075266	1.377511	1.067514	0.437091	0.986468	0.8614	1.203466	0.802279	0.997586	1.066228	1.406724	1.988532	0.743456	1.124691	0	1.185431	1.217204	1.216357	0.960224	0.860377	1.288345	1.196741	0.801458	1.372503	1.077335
hsa-miR-100-5p	10117.19929	16433.09215	11603.26531	9038.778915	9947.336275	6210.150896	7706.152808	11892.79208	13780.52115	9783.29312	23989.56095	4667.326888	17265.36908	15008.19428	11664.88072	8047.121728	15214.90513	89380.6249	11661.79642	13788.7153	11058.51492	9614.514763	7335.901656	12708.33329	9831.302865	10362.71119	25757.8731	7739.243102	9441.80921	17728.81586	3210.955304	13764.39454	5730.874203	5956.66929	6621.266502	12410.01926	14682.32065	21443.46623	9123.024984	20967.97332	14752.60373	13917.36347	3327.794607	8485.002998	3170.979486	7890.143085	11221.13926	7593.457944	24388.93217	4828.37368	24110.41147	5563.260577	25097.70412	19709.98066	12533.34882	20649.12867	16391.18464	22472.6838	24505.96396	30342.75373	16095.05342	9843.248765	52907.45188	19849.12479	36875.44352	19644.29037	24845.18183	20197.98041	27830.08307	29494.93046	37002.86874	17921.97846	18120.73834	23821.64133	20577.10413	27165.25686	18705.39125	23242.86723	14779.53664	21513.73304	18386.15799	33223.50196	14929.00135	29381.14396	22084.06805	42478.19618	25823.73602	29688.43536	27732.64283	15368.65414	33426.45178	21538.42596	21801.73844	20578.87186	17500.15551	23733.35365	14516.47339	27879.34472	33014.4552	16034.12366
hsa-miR-101-5p	22.147671	16.851833	12.408164	24.106301	40.408255	18.184173	62.669716	16.273287	21.114948	48.538627	8.016841	21.781176	12.162936	14.169331	9.534458	27.515803	22.172277	15.900049	9.807467	24.520291	12.136452	17.424964	25.754903	26.689209	21.24156	23.211122	18.710421	16.325656	23.401959	25.422826	15.912461	14.230687	23.314193	39.823358	26.063516	18.092508	11.533359	18.915929	10.916178	21.999972	18.150119	14.662396	93.419774	9.117485	11.138807	14.297079	21.110682	12.937146	47.805254	24.179287	20.292124	12.72389	25.160369	33.509542	82.942869	32.961526	47.21136	26.670643	37.336154	34.603537	7.074077	46.867948	11.661923	31.204579	19.163207	27.532396	23.054438	26.550227	24.736292	18.306485	19.680178	34.375904	20.936134	58.159779	30.804049	28.09133	36.848414	16.146162	31.033528	34.197584	50.248348	30.387534	42.921908	36.785973	33.882354	29.541187	26.381188	37.024117	28.277958	35.686615	23.200583	17.388629	12.771749	11.94945	13.421882	13.803705	6.9411	35.424428	35.54782	32.391877
hsa-miR-103a-2-5p	0.476294	0.382996	0.326531	3.114859	7.672453	2.817266	2.666796	0.621118	0.754105	1.142086	0.559314	4.735038	1.332926	2.680684	0.529692	1.500862	0.393591	0.967828	1.554842	0.207799	0	2.468537	0.849063	2.989192	2.98127	0.767309	1.275711	2.868021	2.013072	1.897227	1.120596	0.790594	0.98165	1.448122	0.161885	0.655526	1.529935	1.171783	2.217348	1.454544	0.938799	0	2.278531	0.337685	0.530419	0.230598	0.27065	4.528001	0.284555	4.14502	0.288513	0.834353	2.610982	3.822381	5.839523	2.112919	5.695339	2.182143	1.415589	0.324916	1.525781	6.368815	1.794142	1.07602	0.301782	0.892943	0.434989	2.388115	1.276712	0.636747	0.42783	2.573597	2.402507	2.417029	2.775139	0.537633	4.132533	0.266879	2.039762	0.986469	1.2921	1.203467	1.805127	1.745775	0.710819	2.188236	1.590825	2.379059	1.446032	1.99845	1.016084	0.956374	0.243271	0.960224	0.430189	1.104297	0.239348	2.244081	1.509753	2.513781
hsa-miR-106a-3p	0	0.127665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131197	0	0	0	0	0.145208	0	0	0	0	0	0	0	0.189723	0	0.158119	0	0	0	0	0	0	0	0	0.312934	0.18328	0	0	0	0	0	0	0	0.115139	0.096171	0	0	0	0	0	0.149877	0	0.176949	0	0.138707	0	0	0	0	0	0.434989	0	0	0	0	0	0.171608	0.302128	0.138757	0.134408	0.172189	0	0	0	0.143567	0	0.60171	0.124698	0.23694	0	0.132569	0	0	0.570986	0	0	0	0	0	0	0	0.320583	0	0
hsa-miR-106a-5p	5.239234	11.617551	5.551022	8.667435	5.882213	4.482016	6.666991	7.204969	9.803367	8.565642	4.474516	3.788031	6.831239	7.850573	2.383614	5.669921	7.871815	4.193924	2.511667	4.155981	5.295907	4.791865	4.811357	12.17028	6.894186	9.783197	6.591171	7.500977	6.919934	3.225286	7.395932	9.803361	2.69954	5.249444	2.752049	5.89973	4.589805	2.17617	3.923001	8.909081	6.571596	4.94856	2.848165	5.065268	3.182518	8.070931	6.495595	8.085717	5.406546	8.05976	5.289415	3.96318	13.292271	7.899588	50.717347	10.247655	19.034421	8.243652	10.43997	14.783671	16.228766	22.699111	11.661923	12.051424	14.032898	10.120018	12.940933	15.592986	12.447941	14.326816	11.69402	21.875574	17.332372	17.523463	21.507333	8.064495	55.444811	6.004769	14.715428	5.425576	39.337279	32.042299	29.483741	7.232496	12.320857	11.878998	12.991742	12.787446	15.58501	27.978306	11.007577	8.433484	5.230336	6.721568	8.861884	6.625778	10.770674	6.571955	14.136779	8.331392
hsa-miR-106b-3p	64.775985	218.81852	166.204084	270.315587	235.544329	148.674818	140.673513	171.42853	364.232883	367.94182	310.978897	231.543355	200.271885	211.199631	144.605957	169.430643	221.197983	400.542961	139.457405	328.530333	205.216379	145.20804	145.472742	131.524418	130.616969	298.483524	119.916798	240.472491	156.013053	159.746409	235.325126	227.532869	287.378113	192.781256	142.94463	246.346558	239.140692	137.266038	169.371319	271.999655	237.672667	173.199559	106.521328	264.238263	169.866797	137.897636	113.402254	326.339514	199.757671	152.214379	220.424417	156.44128	167.10282	176.211769	163.398534	255.874416	277.872573	234.459195	526.068156	388.761811	326.655956	250.180122	1393.151223	171.947989	628.613563	222.640352	447.821606	209.170843	218.477309	646.139314	678.110455	199.269942	231.670328	128.102577	206.331621	320.026108	315.622162	226.980343	212.863793	114.759198	379.446818	407.824758	351.999752	333.567726	262.292068	262.119428	355.416908	339.313397	311.05753	397.691619	296.357814	207.359408	204.712872	235.468166	262.501043	264.478982	224.508689	158.848902	327.616402	237.229213
hsa-miR-106b-5p	105.260976	283.544882	126.693878	285.619023	162.656017	178.384171	180.67546	183.850888	239.805498	258.682324	260.267711	291.204834	230.262684	232.262149	131.893347	181.604297	248.880532	313.668782	131.802794	251.644675	182.267453	147.240952	168.963476	112.948729	172.168447	189.909182	141.391257	226.573623	223.325135	121.232728	179.96769	174.721209	254.738245	246.361775	148.772496	183.6783	173.824216	131.909316	159.137403	223.636079	191.358574	116.932613	126.458474	245.15908	141.887177	145.507373	171.862602	401.051532	164.757395	107.079705	292.648997	123.692907	221.221346	113.14248	1056.088736	158.574523	286.265707	264.039364	277.986235	382.58841	388.658171	379.352761	125.589936	290.525386	363.497378	266.989836	301.665161	211.558955	253.586883	253.107049	213.91497	461.593014	223.261556	350.771446	318.030984	250.133805	798.784072	218.039907	268.811564	143.037971	601.688085	489.359623	531.910734	285.683607	244.521604	257.430351	238.888947	273.591868	293.705148	441.657529	181.37098	243.440813	212.132649	311.432519	246.411989	229.325547	261.128978	189.304294	270.657539	181.710538
hsa-miR-107	60.489339	84.131506	70.204082	100.758915	93.092439	60.571222	64.225347	95.27948	103.061064	160.462988	70.473634	42.615341	119.130117	138.821152	152.816187	72.374899	168.981616	64.844544	80.732202	143.381359	116.951272	66.795698	72.45335	80.92168	66.892287	112.602719	77.605729	85.819999	83.668289	70.5768	90.320025	101.986591	78.286609	116.211798	73.657764	89.151494	67.081787	87.716347	184.210498	90.54534	86.682464	87.974379	37.026131	60.783243	74.78913	87.396661	145.609576	91.53031	93.334069	79.215952	72.897778	101.791125	87.823925	55.551939	87.268441	82.08688	63.847742	67.646449	122.448425	180.003381	126.501159	81.161568	331.01919	74.030174	214.114893	79.323068	161.381071	95.38415	96.55133	198.665154	176.265935	92.649493	80.140776	83.387526	144.029739	105.913721	165.301296	90.8722	95.868839	52.118432	172.567187	148.477698	154.037499	73.696643	102.950232	82.84037	110.164659	90.40427	96.241456	116.195614	110.245107	102.071255	88.915693	142.966625	105.740341	121.104503	105.79194	88.320632	87.291174	68.51852
hsa-miR-10a-3p	0.238147	0.638327	0	0.812572	0	0.384173	0	0.993789	0.502737	0.380696	0.559315	0	0.666463	0.765909	0	0.333524	0.262394	0.046087	1.315637	1.246794	0.661989	0.435624	0	0.213514	0.186329	0	0	0	0.880719	0.758891	0.224119	0.316237	0.981651	0.181015	0	0.26221	0.353062	0.669591	0	0.363636	0.9388	0	0.569633	0.168842	0	0.230598	0.27065	0	0	0.345418	0.577027	2.711648	0.712086	1.019302	0.432557	0.316938	0.449632	1.212302	0.353898	0.81229	0.554829	0.489909	1.794142	0.430408	0.905347	0.744119	1.304968	0.140477	0.159589	0.955122	1.28349	0.551484	1.029646	0.755321	0.277514	0.537633	1.5497	0.400318	0.145697	0.657645	0.4307	1.203466	0.20057	0.374094	1.066228	0.625211	0.927982	1.040838	1.124692	0.285493	0.508042	0.434716	1.094722	0.213384	1.032453	0	0.478697	0.320584	0.549001	0.502756
