miRNA	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Tumor_44	Tumor_45	Tumor_46	Tumor_47	Tumor_48	Tumor_49	Tumor_50	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Control_10	Control_11	Control_12	Control_13	Control_14	Control_15	Control_16	Control_17	Control_18	Control_19	Control_20	Control_21	Control_22	Control_23	Control_24	Control_25	Control_26	Control_27	Control_28	Control_29	Control_30	Control_31	Control_32	Control_33	Control_34	Control_35	Control_36	Control_37	Control_38	Control_39	Control_40	Control_41	Control_42	Control_43	Control_44	Control_45	Control_46	Control_47	Control_48	Control_49	Control_50
hsa-let-7g-3p	76.981396	55.120415	28.869432	80.73749	8.328753	9.105156	47.606227	52.456013	27.690366	93.268706	35.534803	31.058327	37.158251	94.383924	24.523381	72.411133	88.746663	36.363227	65.122003	17.874673	49.317904	24.24834	109.3551	52.131484	31.152815	44.612739	53.638196	38.710511	31.196794	54.908786	75.938891	26.870567	56.73346	65.476152	29.153296	17.479159	35.832876	34.960657	32.390603	17.553626	73.85198	69.270104	57.625936	79.581775	24.216166	210.90187	40.072704	13.345399	18.736767	81.930841	25.995323	25.61199	14.89789	4.402521	7.141262	12.556024	52.224993	30.177326	67.401328	54.50443	25.245589	7.528328	31.994102	19.709302	26.589105	37.959165	17.629698	14.454506	26.991365	13.767806	20.149265	38.905689	45.07125	22.983549	34.774723	17.906668	9.288894	3.715296	18.167778	19.695437	10.787196	10.433901	57.30844	33.949379	21.798768	15.194042	20.784358	8.549073	7.991773	17.245688	10.327176	3.747638	41.774938	41.319607	7.416006	15.316457	63.749875	13.730789	5.601448	11.080946
hsa-let-7g-5p	787.32631	1045.706571	567.047315	372.686412	535.670294	397.805529	360.047096	378.967924	370.087759	749.897049	569.617583	971.574618	885.604991	470.171768	537.59098	603.614674	555.536706	417.311318	615.290647	509.139869	639.972337	1064.401063	848.644316	947.634507	554.305265	727.586631	1011.252216	498.709084	504.348173	350.707731	671.504573	480.508961	598.78467	531.084348	496.628961	536.794167	646.982476	1040.788221	510.915937	609.361598	1323.814016	529.266891	692.081798	354.188017	462.980252	2276.861431	1055.492974	353.335332	194.671835	429.544926	1093.125384	489.37194	301.43397	492.220939	136.080709	709.415364	1035.301129	962.75404	560.064078	247.674544	877.948546	728.295973	555.844211	823.242423	1169.182045	676.849345	769.484449	468.705163	657.527359	601.593234	901.34382	596.553926	1296.952702	381.9647	444.715212	452.582264	394.02886	318.164454	376.742373	488.895636	405.059196	392.859038	733.81152	427.762174	1044.827048	611.86819	656.074666	674.426848	563.833318	658.40732	308.28534	411.704838	418.402121	449.625776	434.173498	190.361682	427.349825	406.039079	335.068425	261.633453
hsa-let-7i-3p	47.794136	82.906527	196.269037	87.476846	132.164152	33.984031	64.408425	77.613488	46.712443	215.683881	85.654785	43.581847	171.499621	318.691395	126.944561	197.433478	102.667707	83.404545	162.243612	50.452704	100.376439	95.983011	236.986818	162.766076	79.49339	91.764414	57.082851	74.25174	53.885371	37.786692	86.177843	37.934918	49.950112	139.136823	97.177654	97.515307	89.582189	219.685212	134.451562	104.247046	585.294206	92.54053	134.08015	100.705331	55.409871	600.19157	218.377855	36.858721	72.406489	49.253222	202.675404	86.440464	164.704448	116.283967	150.363232	127.843153	165.873698	179.11703	72.987074	32.862966	113.272968	88.388141	159.543925	274.414141	203.480513	219.73545	241.112041	172.980165	140.709084	131.692051	201.492657	79.97281	194.136166	124.767839	96.299235	176.960016	68.018671	73.29266	100.878987	115.928848	67.959333	132.91882	98.148937	364.616329	376.937025	294.84655	283.323615	126.811245	122.632368	392.63472	71.907747	95.832466	401.431052	136.183556	205.625647	169.028045	135.680043	352.517022	74.34649	140.358653
hsa-let-7i-5p	469.185188	285.767726	297.958373	261.756604	503.012818	281.875099	378.449501	453.905084	448.824715	622.485336	542.568703	277.020243	267.729967	370.544294	605.871763	699.219998	409.800766	466.95001	433.959555	482.327858	498.400939	628.941304	628.106453	429.215874	560.750675	455.55773	598.385738	582.242289	484.022987	517.205343	517.920299	467.073678	327.759066	529.265567	243.455595	354.949586	321.500521	434.17357	278.681418	424.152929	723.335293	505.996465	521.77148	404.786305	563.949351	546.587346	565.061893	280.888879	426.49963	325.355418	474.084206	359.939923	463.655439	489.828264	897.815291	373.827083	502.665553	433.515132	602.888129	1221.540471	443.458688	500.215534	805.398215	416.927561	487.466929	497.746239	497.779696	589.55432	662.394656	670.432261	488.283873	570.076444	521.727203	733.284666	709.538105	644.991171	546.546496	472.855877	546.945781	546.486096	584.666003	643.272654	480.863922	592.756155	658.504441	366.299616	516.327207	392.069972	292.113056	462.08996	522.861116	558.933487	524.797669	610.01431	534.626684	306.876159	581.365007	639.182293	528.572987	499.8738
hsa-miR-100-3p	0	0.67771	0.215444	0	0	0	0	0.267633	0.240786	0.416378	0	0	0	0.582617	0	0	0	0.577194	0	0	0	0	0.30461	0.19308	0	0	0	0	0	0.590417	0	0	0	0.909391	0	0	0	0	0.611143	0	0	1.082346	0	0	0.410443	1.757516	0.367639	0	0	0	0	0	0	0.191414	0	0	0.890199	0	0	0	0.332179	0.557654	0.853176	0	0	0.534636	0	0.473918	0	0.2993	0	0	1.099299	1.094455	0	0.702222	0.299642	0.337754	0	0.249309	1.07872	0.453648	0	0.678988	0	0.41065	0	0.237474	0	0	1.147464	0	0	0.733484	1.011274	0	0	0	0	0.615608
hsa-miR-100-5p	2121.913721	1039.381277	1385.517201	1207.962252	9635.92831	4718.907178	2707.554147	3117.653483	1803.485571	4235.398553	4285.125952	1307.705869	1084.25872	10326.30037	17499.11524	3587.179609	2517.969027	3098.666421	2215.270888	5368.456105	3087.300816	5207.836054	4743.391708	1756.251725	4463.446467	1357.968271	1859.621466	7112.320469	1960.671243	1814.942038	1686.867265	3695.493254	1104.7608	1289.51645	653.136125	2388.971696	2881.560406	4972.9173	2890.708599	7334.908143	5097.857326	3427.787813	2585.749961	2173.761402	8274.540722	568.556291	3756.907942	1578.570085	6563.108448	1423.133954	7598.565236	6628.931669	18327.71517	15896.06606	18806.11594	15360.58333	10104.05236	5673.986236	15846.01515	28387.99139	16690.65551	13987.35353	11960.67541	6610.57601	8403.265141	6526.303294	11511.15545	11126.17908	12146.55692	10651.49255	16489.48745	10292.98687	15644.12093	12546.82898	12179.1781	10494.71209	14959.61279	10374.7957	8003.384942	18462.10535	13384.21294	8195.148419	2775.177674	9695.263589	3928.92512	8956.271957	10263.64411	18675.92436	12565.54631	7861.199139	13837.65143	9027.525336	11794.89288	17947.37887	11948.53561	5053.336827	13472.37952	8816.568411	13941.49441	17314.59422
hsa-miR-101-5p	6.931973	6.325294	10.34129	1.88702	7.452042	3.462525	10.001308	7.493716	5.778859	14.156856	9.281478	4.508467	9.527758	10.487103	13.944667	7.919968	11.310851	4.040358	6.175363	8.360734	8.993264	6.062086	20.10428	6.178547	13.965055	5.803282	16.73118	9.281468	17.96179	5.313753	15.358428	10.274041	12.33336	0.909391	3.068768	4.139801	3.981431	3.77953	4.278003	5.373559	11.043286	8.658763	2.85277	5.894947	10.67153	7.030063	6.985149	9.532428	5.239942	12.313306	16.302152	13.263352	11.918311	9.857818	2.777158	10.843839	17.507242	16.548854	29.045876	9.618429	22.920337	6.970674	7.251996	12.507826	39.883657	9.088814	5.185205	11.847956	15.044367	14.366404	10.746275	10.807136	24.624293	5.472274	12.706149	9.831111	12.884594	6.079576	9.561989	26.426792	17.798873	10.433901	4.611023	10.184815	15.440795	6.159748	21.331313	6.174329	4.133675	11.812114	16.446984	1.606131	15.665601	23.960482	7.416006	9.846293	18.61722	10.928588	1.527668	3.693649
hsa-miR-103a-2-5p	2.189044	2.936742	1.938992	1.078297	0.876711	0.128242	1.600209	0.535265	1.203929	0.832756	0	1.753293	2.38194	5.826168	0.961702	3.394272	5.655426	2.308776	1.68419	0.864903	1.450526	0	1.523051	4.826991	2.14847	3.989757	1.968375	1.811019	2.836072	2.952085	13.651935	4.741865	3.08334	5.456346	2.557307	1.226608	1.493036	2.834648	2.444573	1.791186	2.070616	2.164691	5.134985	9.333665	1.641773	1.757516	1.470557	0.635495	0.635144	4.262298	1.321796	0.914714	0.82766	0.095707	0.793474	1.141456	2.373863	1.297949	0.372383	1.603071	0.664358	0.278827	1.279764	0.75805	1.107879	5.346361	1.555562	0.473918	1.327444	1.4965	1.343284	0.540356	0.43972	0	2.006234	1.404445	0.299642	1.351016	0.956198	0.747928	0	0.453648	2.634871	2.71595	1.513804	0.41065	0.546956	0.237474	0.551156	0.472484	1.529952	0.535377	1.9582	0.48899	1.685456	0	0.564158	0	1.527668	0
hsa-miR-106a-3p	0	0.67771	1.077218	0.404361	0	0.128242	0	0	0.240786	0	0	0.500941	0	0	0	0.565712	0	0	0	0	0	0	0	0	0	1.45082	0	0.226377	0	0	0	0	0	0.909391	0	0.306652	0.497679	0.472441	0.611143	0	0	0	0.285277	0	0	4.393789	0.367639	0	0	0.473589	0	0	0.165532	0	0	0	0.296733	0.324487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.302761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-106a-5p	5.10777	12.424682	14.865605	17.7919	7.671222	4.231976	8.001047	6.155552	28.894296	17.487881	19.35851	15.278694	12.386086	20.974206	6.251058	26.022751	30.452285	10.389493	17.964691	18.162973	9.86358	4.546564	17.362789	14.094809	9.668115	48.23979	19.683743	5.433054	10.871611	16.531678	29.010363	11.064352	3.391674	31.828685	29.153296	18.552442	24.386264	20.314975	27.501454	10.388882	18.635545	30.305671	26.81603	4.912456	9.029755	130.056154	16.543775	7.625942	3.493294	8.998185	13.65856	8.689783	4.965963	3.445452	3.967368	7.419468	10.682385	17.19783	15.640087	6.412286	7.640113	7.528328	10.664701	15.540026	17.356777	16.039083	7.777809	8.530528	3.097369	4.190201	13.432844	8.915886	14.510744	5.472274	4.012469	5.266666	3.595702	6.755083	4.302894	5.484805	4.854238	6.35107	27.007427	5.431901	23.918094	2.87455	7.383917	5.69938	3.858096	9.449692	3.442392	8.566032	3.9164	4.400905	4.045094	2.735081	4.513265	3.082422	10.693674	4.309257
hsa-miR-106b-3p	494.724038	84.261946	163.952511	433.34062	454.026602	479.110723	312.440865	114.814435	223.208427	443.026351	267.57176	144.020469	122.908063	510.954944	234.655097	364.884221	826.127018	252.233812	510.870884	208.441747	367.273336	138.417603	345.123478	254.671947	186.916891	119.692716	280.001222	291.800276	262.809356	528.423267	401.878849	448.106218	176.058725	361.937621	466.964199	364.609119	268.746565	241.889952	229.789941	524.101129	578.392153	313.880159	743.146367	212.218066	216.303714	515.830822	372.78644	156.967314	148.623845	300.728806	289.913945	235.538832	331.064219	335.644339	613.751768	290.500739	278.928938	268.026569	301.257871	546.647376	275.708398	315.074445	488.869891	333.163025	197.941115	490.795972	315.260475	283.877039	220.355739	226.570187	253.209107	337.723009	228.654147	249.535679	318.991213	262.631134	244.208001	194.546419	182.155891	201.192646	237.857663	294.417456	423.55548	321.840112	302.760664	297.31045	287.699267	375.921724	241.957796	169.385735	209.603431	255.374784	300.910107	265.521258	233.267128	258.191706	288.848988	271.813602	341.179096	393.373594
hsa-miR-106b-5p	354.990036	84.261945	218.675163	144.087441	144.657283	276.617192	141.618524	57.273402	150.491119	276.475092	111.112554	111.960259	168.164907	195.759249	70.685039	299.827346	371.952923	175.467	275.084323	177.016919	187.117929	75.776061	160.834242	256.409664	152.541372	259.334218	233.252336	134.468087	126.677891	232.62432	258.533527	222.077333	132.891963	287.367558	237.318059	136.613426	138.354713	147.874133	137.507278	137.204875	286.435255	167.763535	461.578051	183.725824	85.782689	855.03133	235.656912	126.463546	64.943539	163.388092	148.92236	71.347685	64.226458	102.023629	31.342205	57.643565	172.10509	141.152008	99.798652	125.841111	94.670957	101.493007	106.647009	128.868518	143.655027	85.541781	105.259666	88.148796	92.921094	121.815148	86.641842	100.776545	127.07894	52.533826	64.19949	67.41334	75.210072	57.755967	56.415735	84.765179	65.801893	88.007682	203.54377	77.404585	171.362537	57.490971	93.256131	68.630055	57.871455	149.541381	63.875498	84.054173	81.591677	89.485064	79.89062	36.103077	88.854914	66.972629	54.486811	38.167703
hsa-miR-107	93.76407	33.207791	69.588255	70.089308	97.534076	266.10138	49.206436	38.806745	48.879516	51.214512	36.595542	31.559267	44.304069	58.261682	30.774439	49.782654	81.351108	51.370273	60.069435	35.461043	32.20169	36.877682	59.39901	78.004146	24.707405	36.27052	87.59265	58.178953	55.776087	43.690862	42.662299	38.725229	28.366729	90.02971	55.237824	52.130823	45.288773	84.094554	90.449231	94.574639	66.25972	38.423261	60.763983	50.107044	28.731042	128.298638	49.631329	34.952236	32.551164	42.149392	62.565017	25.154633	35.920468	42.111067	47.211677	23.399863	38.575278	48.02413	36.121153	96.985824	35.210952	35.411023	42.658802	46.999107	32.128502	75.383692	29.555672	39.335215	28.318809	25.739809	26.194045	31.610874	28.14205	33.928097	32.76849	32.653336	37.455216	25.331565	23.426872	23.933698	25.34991	45.364785	32.277168	28.51748	59.038331	20.943139	37.466538	37.045982	49.052947	30.7115	30.599041	25.698092	23.498402	24.938462	22.24802	16.957505	20.873852	25.780259	32.590241	30.164798
hsa-miR-10a-3p	0.364841	3.840355	4.308873	1.752232	2.08219	1.667141	4.400575	2.408695	13.243221	0.416378	1.06074	37.069614	10.956922	0	0.961701	1.131424	3.915295	1.154388	0.561397	0	3.191158	4.04139	1.827661	1.351558	1.074235	2.538936	6.397217	2.716526	0.945358	1.180834	2.559738	0.790311	12.025027	1.818782	0	2.146564	2.986073	2.362206	34.835175	2.865897	2.070615	1.082346	0	4.421212	0	0.878758	1.838196	0	0.476358	0.473589	3.084192	3.658856	1.655321	5.551005	2.380421	2.853641	4.154261	3.56936	0.372383	4.007679	2.98961	1.115308	0.853176	3.0322	3.692931	5.346361	1.555563	1.658714	2.654887	2.394401	1.343284	1.62107	0.879439	0	1.33749	1.404444	2.996417	2.026525	1.912398	3.490331	1.61808	1.814592	13.833072	2.71595	3.027608	2.053249	3.008263	3.087164	2.480205	1.181211	2.677416	0	1.958199	1.955958	2.022547	0	1.974553	1.961541	2.03689	4.309257
hsa-miR-10a-5p	20486.90185	27127.37696	29805.74752	13267.23193	23472.83556	11448.38659	40919.7523	33211.07871	225913.8964	15031.25126	20735.61815	176687.5693	54791.74706	4904.468325	41525.29659	28302.56992	29503.0448	19074.82138	7902.779586	16265.95206	71681.83337	37152.4973	14009.02804	11947.5704	29646.73781	21543.6008	68076.71148	29022.92183	20949.11992	12953.15985	27095.67874	14746.40903	170961.0401	15865.23553	9827.21813	15785.82695	20561.10302	26745.84783	109007.8269	46386.35317	16052.79795	29740.68628	14121.49259	32874.64103	23527.85208	3992.196633	18919.83106	14475.94523	15969.28314	9614.797182	33765.72222	65062.68535	60100.57068	52328.83766	24777.40093	41824.11636	20179.32164	43219.44691	26135.70308	32401.28085	41074.57182	28112.44756	28288.75915	37708.44483	20905.68401	40394.96779	28712.55505	33714.07137	43813.18081	39710.84017	33694.94549	27017.84096	22418.87945	52460.49839	46178.1576	36058.06114	39173.36041	50397.31715	46372.30083	65762.82054	64170.86918	53246.00915	129132.3832	46827.7361	28672.64579	34241.62224	27415.93547	43329.31289	27561.9693	28652.88492	67334.72023	43257.91836	45084.94999	39969.99561	26747.51463	34936.83876	40034.92139	43233.21439	48240.17786	52761.31026
