miRNA	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Control_10	Control_11	Control_12	Control_13	Control_14	Control_15	Control_16	Control_17	Control_18	Control_19	Control_20	Control_21	Control_22	Control_23	Control_24	Control_25	Control_26	Control_27	Control_28	Control_29	Control_30	Control_31	Control_32	Control_33	Control_34	Control_35	Control_36	Control_37	Control_38	Control_39	Control_40	Control_41	Control_42	Control_43
hsa-let-7g-3p	3.675786	4.49688	6.152647	12.614386	7.293738	9.381464	10.829635	20.172399	19.661753	7.007588	13.223482	8.986094	22.016412	17.807261	28.908175	10.058142	13.573044	2.541534	11.40872	7.467128	13.38995	11.378313	17.600804	9.128074	17.088253	26.113934	14.118564	14.077806	18.681622	32.897268	18.943131	31.20246	25.070733	10.779437	12.965151	6.705429	15.766638	17.081912	6.198052	9.433008	29.33942	8.093293	17.376949	25.404102	11.769557	8.601011	4.836138	5.626042	8.116284	9.467015	5.819349	21.668238	9.384207	8.949485	13.658431	7.559798	4.63736	9.565087	4.208534	10.509355	6.630779	8.719746	7.663727	33.297495	8.524041	17.204858	4.381454	6.532056	16.237018	23.947144	10.941586	8.352108	31.363324	23.498769	42.882985	21.084732	15.905212	6.213411	9.903928	3.781396	70.807481	8.559359	10.652365	31.756675	5.262267	3.455655
hsa-let-7g-5p	682.470913	351.131401	319.322388	383.034129	354.475694	788.66836	597.892876	385.082061	278.541494	401.081315	323.687856	351.305407	441.649241	404.224833	461.68881	887.773341	409.580181	317.691701	324.578089	436.193029	584.759601	552.110749	429.287912	283.781683	419.178296	371.203445	310.07562	710.023243	288.703914	263.765597	210.591186	481.148572	385.253617	266.169153	345.815943	667.190249	579.551081	869.243758	404.22082	420.878573	242.203662	419.080848	369.260175	760.090764	813.289601	500.2239	567.792832	587.233784	378.792902	949.501735	320.740807	482.257187	727.08322	511.71879	543.776297	619.467352	382.582131	490.133538	348.5067	578.810689	488.583716	524.136023	238.361551	524.311334	308.570257	399.398483	801.806055	527.300237	489.430088	451.802781	818.645897	401.933448	448.620978	418.91786	589.641047	398.468518	739.661542	728.490786	875.147043	724.609936	350.103653	542.271015	629.308917	592.994842	462.85079	522.379678
hsa-let-7i-3p	30.018919	78.195752	45.734677	75.345387	301.960776	125.920087	120.903995	153.250015	96.852336	73.991876	120.448679	43.743627	99.073857	109.811445	214.706347	142.901522	74.923203	63.255947	92.030343	17.470263	101.353119	264.326959	209.707145	62.27375	36.814291	150.374199	67.129772	75.685633	48.095237	81.264085	45.745645	107.050994	91.926025	167.081261	202.49209	50.290722	104.263248	151.481115	84.347411	53.130025	75.374074	169.453331	52.130848	61.115013	103.148924	41.093721	112.59134	198.786825	139.560489	34.134593	127.213652	156.678027	93.713521	111.548944	49.511813	185.50583	112.069513	216.448647	72.947923	59.39378	83.059233	76.575226	18.471546	83.492231	68.021841	123.301481	96.477896	64.340753	75.966045	389.540208	39.461459	58.183223	61.472114	46.259358	89.549762	121.566666	53.10958	98.907366	110.743917	70.428493	190.880484	58.13231	83.853228	60.663392	62.918422	40.507944
hsa-let-7i-5p	459.473237	680.652797	303.940769	440.651189	897.129842	865.387883	545.845969	621.430315	603.688621	566.584034	430.913052	403.696031	466.307623	490.886836	670.78192	1035.798825	613.718764	810.608023	668.741151	248.105919	824.019421	694.427184	445.171565	533.68807	281.440094	576.259175	488.022798	751.699127	566.278352	890.184413	496.753372	878.813964	859.647623	471.807629	504.46225	457.36618	593.791913	823.477118	603.366944	637.421572	303.951478	1444.14704	419.942945	209.184645	278.634339	357.419807	539.078262	708.50625	290.404592	384.680875	405.189016	389.750481	424.474683	730.182122	572.971195	604.783897	306.065705	634.07266	284.577066	424.514251	426.289292	340.070105	262.728272	416.839937	312.491318	443.639545	618.472278	322.193674	397.806921	485.86094	417.39461	659.816502	634.291858	658.21162	623.379866	650.991151	258.079363	421.370736	470.436553	566.263996	373.331504	375.898488	423.363204	394.51562	767.147156	775.026374
hsa-miR-100-3p	0	0.37474	0.205088	0.511394	0	0.416954	0	0.301081	0.728213	0.206106	0.574934	0.678196	0	0	0	0.379553	0.217169	0.282393	0.950726	0.140889	0.097737	0.175051	0.429288	0.202846	0	0	1.598328	0.278768	0.132494	0.195817	0	0.497912	0.278564	0	0.47146	0	0.254301	1.933801	0.269481	0.277441	0.368277	0.252915	0	0.145166	0.396727	0.409572	1.057905	0.500093	0.692853	0.666691	0.406001	0.277798	0.128551	0.799061	0.682921	1.599188	0.515263	0.617102	0.400812	0.796164	0.348988	0.475623	0	0.124244	0	0	1.288663	0.653206	0.386596	0.798238	0.358741	1.595347	0.250907	0.36909	0	0.329449	0.138306	1.014435	1.350536	0	0.561964	0.53496	1.09255	0	0.228794	0.575942
hsa-miR-100-5p	566.071026	6219.18544	1341.892348	2364.174599	4860.547366	4366.341562	2620.12531	1336.496688	3562.782344	5633.069549	4977.203864	3629.703754	1206.93975	2402.199552	4693.789457	5114.470194	3225.606796	5102.128704	3156.602748	1163.322306	3517.549386	2525.460289	2623.378421	1050.539915	641.210905	2031.278534	5929.796644	2047.554271	3592.303437	2254.246146	1106.762476	5761.169072	4476.518891	804.311776	1883.482891	1826.950183	3002.52724	4449.354864	1327.461174	1343.787325	5157.23167	1103.217059	2565.996205	3491.830259	8038.342836	8867.5062	7321.006218	5970.230985	8192.002767	9993.835771	5747.891773	7886.682898	6268.264656	9875.916978	6218.854508	10712.38019	6493.333346	8439.800202	10940.38491	8728.656256	10660.89673	5370.888067	6119.780512	3215.941848	11846.88164	5321.626381	11086.88234	13409.65823	10446.58756	9881.655874	14067.47192	6606.704793	4853.787952	5384.171056	10221.60098	2008.156165	2380.111345	4380.708649	5849.16949	5122.373052	11349.80226	6022.756837	4992.135007	8660.004683	7194.893128	5770.941982
hsa-miR-101-5p	1.225262	2.99792	1.640705	0.852325	0.729374	5.628879	1.777999	3.311886	4.369279	4.122111	3.449604	3.22143	2.201641	5.04539	2.525958	2.277315	3.691868	1.270767	3.422616	0.845334	4.202685	7.352141	6.010031	1.622768	0.344058	1.402091	2.131104	6.27229	5.432246	1.566536	0.806091	3.983294	3.899892	2.902156	1.41438	2.235144	4.06881	4.189903	7.545457	4.0229	7.242784	4.299561	2.413465	7.548648	10.579377	6.962724	5.138396	4.125763	10.095864	7.733619	4.195344	17.779067	15.811747	5.593429	3.926799	9.013606	11.206952	7.250954	4.809752	8.757796	3.664378	11.573482	2.751081	7.08193	9.205965	9.831347	13.831649	8.981576	11.404573	7.716302	10.762216	16.704215	7.025385	10.826658	7.567585	4.941733	5.808859	4.945369	7.202857	4.726744	14.611067	14.443918	6.828441	14.860495	6.177446	4.223578
hsa-miR-103a-2-5p	0.612631	0	0.820352	1.193253	1.458748	0.208477	0	0	0.364107	0.412211	1.437335	0.339098	5.724268	0.593576	1.40331	1.707986	0.325753	0.705981	1.331017	1.268002	0.390947	0.525153	0.429288	0.608538	0.458745	0.525784	0.799164	1.393842	1.987406	5.287061	8.060907	1.825676	1.392819	0	0.70719	0.838179	0.254301	0	3.099027	2.913135	0.982073	4.046646	4.344237	0.145166	0.396726	0.546096	0.453388	0.375069	0.296937	0.400015	0.270667	0.555596	0.771305	0.799061	0.682921	0.726904	0	0.154276	0.400812	0.318466	0.174494	0.158541	0.196506	0.124244	0	0.819279	0.171822	0	0.773192	0	0.538111	1.313815	3.261785	2.214544	4.099109	2.306143	0.276612	0.253608	0	0	1.311249	1.06992	1.638826	0.814274	2.059149	2.49575
hsa-miR-106a-3p	0	0	0	0	0	0.208477	0	0	0	0	0	0	0.440328	0	0	0	0.108584	0	0	0	0.097737	0	0	0	0	0	0	0	0.529976	0.195817	0	0	0	0	0.23573	0	0	0	0	0	0.122759	0.252915	0	0.580665	0.396726	0.136524	0.151129	0.375069	0.098979	0	0	0	0.257102	0	0	0.145381	0.257632	0.154276	0.400813	0	0	0.317082	0	0.248488	0	0	0	0	0	0	0.17937	0	0.250907	0	0	0	0	0.126804	0	0	0.187321	0	0	0	0	0
hsa-miR-106a-5p	2.450524	2.748092	4.51194	22.160409	1.458748	15.427296	1.777998	9.03242	12.743731	3.297689	6.036807	21.02407	28.621336	13.652235	10.665153	16.320756	6.406474	1.976747	8.746684	8.735129	8.503108	5.601632	6.224676	7.302458	8.028039	11.567245	4.794984	10.732583	32.328479	5.28706	3.627407	11.285996	6.964093	12.852404	12.257961	13.410861	7.883321	20.627215	7.410715	33.292965	2.700698	4.805393	5.792316	14.661797	7.008835	3.276576	3.324846	2.625485	3.16733	4.5335	2.977342	10.556322	6.42754	6.072863	4.95118	3.198377	4.250913	2.776962	7.815847	4.617749	2.791907	3.64644	3.930117	11.057749	1.193365	7.783149	10.395215	5.552245	8.118509	6.651984	9.506623	22.616383	7.778106	7.627871	7.567586	8.071499	9.819739	4.818563	1.800716	2.836046	7.492853	9.272639	19.119629	8.753439	31.802402	12.478751
hsa-miR-106b-3p	469.887962	263.692064	289.174416	765.045468	543.383522	628.349574	253.607437	311.31732	639.006954	516.29429	2775.781477	590.030319	1553.037756	641.654985	907.09923	500.819549	652.157625	321.504001	465.665932	144.552341	859.693372	391.589012	639.853631	398.795418	186.365181	471.628175	628.675655	606.321379	567.205808	389.480156	333.116965	485.131864	417.009879	536.89884	338.272584	323.816374	481.391046	532.440002	138.917223	165.632506	380.92142	410.987555	247.62153	51.969536	140.044501	148.81115	205.989255	222.041133	142.628839	137.605083	174.174438	327.801545	259.029825	227.73244	144.950103	310.533269	190.646991	245.761009	189.784845	216.397175	209.567517	149.662556	104.934102	207.36389	185.142154	397.350286	228.780619	163.791308	243.748557	264.21682	148.51858	120.777109	142.013132	142.961101	285.676357	198.822449	88.930884	124.268229	230.941583	256.662226	276.11171	134.988215	65.553015	231.050169	160.155982	119.028079
hsa-miR-106b-5p	547.692097	203.858573	222.52074	447.981171	204.954054	516.60592	170.68799	287.531953	292.013434	258.868514	1667.596143	283.994478	1117.993442	317.26604	309.289405	328.502705	352.790564	208.970541	191.096065	179.633757	446.071002	280.78175	349.655006	261.468612	155.170518	262.190915	267.719928	662.214456	250.943192	189.550927	188.625214	292.606048	192.208963	479.684909	289.240738	257.320865	371.278884	542.431308	219.626644	209.606963	153.817126	479.527635	163.150248	77.954305	228.117814	175.023756	233.645919	350.940011	140.253344	230.941861	171.467763	297.243774	388.866114	269.763058	240.046929	272.588897	173.128077	298.368984	187.580374	250.632195	172.400254	371.302648	135.785517	173.569415	93.764443	339.591121	457.904883	142.235523	236.789833	466.703225	278.382655	204.016652	193.448981	224.77619	128.96427	171.807635	156.562613	217.088986	263.354434	298.730255	197.062089	127.320456	145.855453	176.086692	204.08448	228.457117
hsa-miR-107	42.884169	71.825171	66.858765	98.869512	120.346686	136.969367	92.294356	93.636061	84.108608	96.457378	98.313718	73.753791	243.061198	113.966473	113.106743	155.616531	104.349564	78.081559	71.114354	79.179743	70.85922	77.372527	97.877644	87.62951	66.747404	85.352256	94.034961	149.280504	88.903317	102.216511	82.825816	57.757747	84.683369	68.407959	135.073304	104.77234	102.991746	184.033439	38.400978	62.701754	63.711961	43.754368	38.615443	49.937208	84.767256	82.187444	67.403673	64.761997	46.916078	83.336411	68.208172	79.172407	126.49397	97.485465	83.1457	86.937688	91.716661	88.399912	75.954019	82.960212	85.502151	58.025947	56.593675	77.652744	62.736938	120.434003	171.993544	78.711277	101.674655	78.227338	156.769611	58.277066	60.970302	62.499345	63.378529	45.299231	47.715637	66.065045	91.386241	70.901167	62.378018	50.28623	23.216693	96.0843	53.309063	34.172578
hsa-miR-10a-3p	0	0.37474	1.435618	0.852324	0	1.042385	0	0	1.09232	0.206106	0	0.339098	0.880657	0	0	1.897762	0.325753	1.694356	0.190145	0.563557	0	0.700204	1.717152	1.217076	0.229373	0	0.532776	0.557537	2.649877	0.195817	0.201523	1.991648	0.278564	0	1.17865	2.235144	1.525804	3.545301	0.673701	0.416163	0.122759	0.252915	0.482693	0.145166	5.421929	1.36524	0	0.500092	0.197958	0.133338	0.135334	0	0.257102	1.917747	0.17073	2.616853	0.257632	0.154276	0.601218	0.477698	1.919435	0.792704	0.196506	0.124244	0.340962	0.819278	0.343644	1.959615	0.579894	0.266079	1.076222	0.187688	0	0.24606	1.57658	0	0.414918	0.253608	4.051609	0	2.060534	0.17832	0.819413	0.610705	0.228794	0
hsa-miR-10a-5p	489.492154	2401.708814	5021.995713	3828.977565	1528.038226	7404.684852	2257.413328	786.121391	2182.454512	2739.348267	1773.67147	2406.916785	4064.670131	341.602629	1220.03724	12362.02555	1985.247728	12345.92305	3804.047622	3537.446591	1090.93877	1921.184355	14576.0417	7179.331766	2386.621159	3053.227208	1041.843428	7230.138547	22020.19868	2343.342914	949.373276	15307.46207	1349.919761	916.252073	3227.615485	7623.514713	3475.526366	7002.939695	5309.709951	9037.652957	1888.525671	2317.969816	2932.360224	1329.433007	26132.64793	14655.30423	1639.904183	8752.871469	2189.614994	1819.800544	611.97887	2492.125124	1239.486636	9329.359119	502.288812	16913.74124	3051.124696	2105.707473	8783.010187	2047.094969	11530.75024	2016.005332	6868.074643	653.152766	2777.302798	8310.765612	4208.77301	14475.68981	2768.218125	1989.475497	7595.433952	3838.778797	1241.4858	2896.992338	25837.62925	1470.166003	986.953021	990.341695	8168.489217	1928.984443	15375.15133	3119.351159	34398.39679	1775.931001	3746.506022	3675.471866
hsa-miR-10b-3p	7.351572	9.3685	7.383175	4.43208	5.834991	6.254309	16.648542	12.645385	7.646238	14.427387	5.461873	6.442861	8.366236	10.090781	12.068462	10.247917	7.492318	5.083066	19.204678	21.55605	12.412582	11.028211	8.156471	7.505305	14.335783	13.67038	9.589968	6.829825	7.552147	12.140657	17.733996	5.97494	9.471166	16.169154	13.200881	2.79393	5.340315	14.82581	5.928572	11.236375	7.733821	6.828716	12.067326	4.645321	11.769555	27.71437	18.740034	31.130764	15.836649	16.933958	11.503362	13.056504	20.953778	20.296151	13.99989	22.679395	11.464583	9.873638	18.8382	21.018711	16.402454	9.988074	22.205159	4.100065	11.592696	25.807283	43.041342	26.618127	17.396804	21.818507	26.726169	10.041299	12.796237	12.672111	21.126175	10.871814	0.829836	3.296911	18.9075	6.617442	4.121069	10.342559	7.101578	11.196264	10.524535	14.014597
hsa-miR-10b-5p	5627.015558	15900.09431	8878.68005	5774.490916	22754.27614	15886.36171	19435.47856	25202.55196	15301.57669	17711.88265	15555.70248	6361.64586	15009.90959	17410.45619	14843.64607	12317.99745	9325.767175	11024.46678	45298.32377	16065.8798	17289.16084	24045.87596	17642.65989	20241.60592	19395.8557	26058.37674	14641.74945	6782.993951	18266.91532	44305.57097	24550.09562	16961.19244	21766.69008	19582.08955	11557.60735	5067.62845	7417.440039	13565.93956	26229.61952	40409.47573	14043.7614	46169.45687	56331.24327	8054.842668	29704.24558	47750.49422	55969.98572	73782.66824	33656.34823	35259.56892	20986.19272	66782.06392	30138.73072	18881.49651	13692.91885	33270.52885	35021.33637	19340.9131	32294.28635	39426.00451	22774.45754	32370.5518	66096.69501	10292.77818	31876.16002	60789.67839	53871.26361	58456.1877	31241.18079	48474.60685	29902.27908	39575.10108	47951.5108	41211.92138	59190.18635	37953.01497	3052.83269	4250.987838	35611.37169	16280.79888	15455.69953	63852.09999	51536.68552	28567.16527	101435.9357	80690.28606
hsa-miR-1178-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1179	0	0.37474	0	0	0	0	0	0.301081	0	0.206106	0	0.339098	0	0	0.561324	0.189776	0.108584	0	0	0	0	0	0.214644	0	0	0	0	0	0.132494	0	0	0.497912	0	0	0	0	0.254301	0	0.269481	0	0	0.758746	0	0	0	0.273048	0	0.250046	0.098979	0.133338	0.270667	0	0.128551	0.159812	0.17073	0	0	0.308552	0.601219	0.159233	0	0.475623	0	0.124244	0	0	0.085911	0	0	0	0	0.281532	0.250907	0	0	0.329448	0	0.760826	0	0	0	0.17832	0.273138	0.407137	0	0.191981
